pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
1	DepAll	0.707717160589908	0.238334534246686	0.008951461	0.00204148263338982	0.013320245	0.00298567370798638	0.240581473466403	1.17485284771341
2	GPpsy	0.688978263243718	0.159236483678349	0.008796134	0.000741536346635971	0.013320245	0.00298567370798638	0.376874755234153	1.00108177125328
3	ICD10Dep	0.335830210672376	0.178228717573055	0.004141558	0.00175775728409053	0.013320245	0.00298567370798638	-0.0134980757708126	0.685158497115564
4	ICD10Dep.exclpsych	0.343274436909346	0.190778847502335	0.004190768	0.00182699233521958	0.013320245	0.00298567370798638	-0.0306521041952316	0.717200978013923
5	LifetimeMDD	1	0	0.013320245	0.00298567370798638	0.013320245	0.00298567370798638	1	1
6	PC1	0	0	0	0	0.013320245	0.00298567370798638	0	0
7	PC10	0	0	0	0	0.013320245	0.00298567370798638	0	0
8	PC11	0	0	0	0	0.013320245	0.00298567370798638	0	0
9	PC12	0	0	0	0	0.013320245	0.00298567370798638	0	0
10	PC13	0	0	0	0	0.013320245	0.00298567370798638	0	0
11	PC14	0	0	0	0	0.013320245	0.00298567370798638	0	0
12	PC15	0	0	0	0	0.013320245	0.00298567370798638	0	0
13	PC16	0	0	0	0	0.013320245	0.00298567370798638	0	0
14	PC17	0	0	0	0	0.013320245	0.00298567370798638	0	0
15	PC18	0	0	0	0	0.013320245	0.00298567370798638	0	0
16	PC19	0	0	0	0	0.013320245	0.00298567370798638	0	0
17	PC2	0	0	0	0	0.013320245	0.00298567370798638	0	0
18	PC20	0	0	0	0	0.013320245	0.00298567370798638	0	0
19	PC3	0	0	0	0	0.013320245	0.00298567370798638	0	0
20	PC4	0	0	0	0	0.013320245	0.00298567370798638	0	0
21	PC5	0	0	0	0	0.013320245	0.00298567370798638	0	0
22	PC6	0	0	0	0	0.013320245	0.00298567370798638	0	0
23	PC7	0	0	0	0	0.013320245	0.00298567370798638	0	0
24	PC8	0	0	0	0	0.013320245	0.00298567370798638	0	0
25	PC9	0	0	0	0	0.013320245	0.00298567370798638	0	0
26	Psypsy	0.404361320541271	0.116043884800398	0.005093742	0.00061634237995524	0.013320245	0.00298567370798638	0.176915306332491	0.63180733475005
27	SelfRepDep	0.397709983781219	0.0858153958453082	0.005184331	0.00120182083677181	0.013320245	0.00298567370798638	0.229511807924415	0.565908159638023
28	abletoconfide.baseline	0.0161362286633073	0.0098976605789329	0.00020924743	0.000123869470348177	0.013320245	0.00298567370798638	-0.00326318607140118	0.0355356433980158
29	adoptedaschild.baseline	0.065030855575393	0.0424774876764433	0.0008486287	0.000576282955611805	0.013320245	0.00298567370798638	-0.0182250202704358	0.148286731421222
30	adultclass.baseline	0.0295893000196263	0.0208482633547347	0.00035691764	0.000188316874290255	0.013320245	0.00298567370798638	-0.0112732961556538	0.0704518961949064
31	age	0.0113423462990935	0.00616424270512931	0.00015473254	0.000113117264461081	0.013320245	0.00298567370798638	-0.000739569402959999	0.0234242620011469
32	agefirstsex.baseline	0.016108598697163	0.0102611844517309	0.00019554675	9.12965320660739e-05	0.013320245	0.00298567370798638	-0.00400332282822967	0.0362205202225556
33	agestartedsmoking.baseline	0.0888037764218217	0.0480547061956233	0.0010975209	0.000490495912786562	0.013320245	0.00298567370798638	-0.00538344772159985	0.182991000565243
34	agestopsmoking.baseline	0.0497001325169311	0.0239311408602395	0.0006269945	0.000252271263550986	0.013320245	0.00298567370798638	0.00279509643086162	0.0966051686030005
35	alcoholfreq.baseline	0.0237860926291672	0.0139137389362602	0.0002959796	0.000155627064983498	0.013320245	0.00298567370798638	-0.00348483568590275	0.0510570209442372
36	alcoholuse.baseline	0.0123810799975842	0.00999986394451956	0.00015971521	0.00012737684160405	0.013320245	0.00298567370798638	-0.00721865333367411	0.0319808133288426
