pheno	meanratio	sdratio	meanr2	sdr2	meanmddr2	sdmddr2	lower	upper
1	DepAll	0.77397138597387	0.374904154608025	0.003843251	0.00178369430643538	0.005301941	0.001911244052039	0.039159242942141	1.5087835290056
2	GPpsy	0.73488274550045	0.292185028849164	0.003468554	0.000519997907094079	0.005301941	0.001911244052039	0.162200088956089	1.30756540204481
3	ICD10Dep	0.487075387528514	0.348725304832001	0.002148198	0.00083061759327757	0.005301941	0.001911244052039	-0.196426209942209	1.17057698499924
4	ICD10Dep.exclpsych	0.45229346841923	0.279413418202317	0.002088587	0.000814200222727801	0.005301941	0.001911244052039	-0.0953568312573118	0.999943768095772
5	LifetimeMDD	1	0	0.005301941	0.001911244052039	0.005301941	0.001911244052039	1	1
6	PC1	0	0	0	0	0.005301941	0.001911244052039	0	0
7	PC10	0	0	0	0	0.005301941	0.001911244052039	0	0
8	PC11	0	0	0	0	0.005301941	0.001911244052039	0	0
9	PC12	0	0	0	0	0.005301941	0.001911244052039	0	0
10	PC13	0	0	0	0	0.005301941	0.001911244052039	0	0
11	PC14	0	0	0	0	0.005301941	0.001911244052039	0	0
12	PC15	0	0	0	0	0.005301941	0.001911244052039	0	0
13	PC16	0	0	0	0	0.005301941	0.001911244052039	0	0
14	PC17	0	0	0	0	0.005301941	0.001911244052039	0	0
15	PC18	0	0	0	0	0.005301941	0.001911244052039	0	0
16	PC19	0	0	0	0	0.005301941	0.001911244052039	0	0
17	PC2	0	0	0	0	0.005301941	0.001911244052039	0	0
18	PC20	0	0	0	0	0.005301941	0.001911244052039	0	0
19	PC3	0	0	0	0	0.005301941	0.001911244052039	0	0
20	PC4	0	0	0	0	0.005301941	0.001911244052039	0	0
21	PC5	0	0	0	0	0.005301941	0.001911244052039	0	0
22	PC6	0	0	0	0	0.005301941	0.001911244052039	0	0
23	PC7	0	0	0	0	0.005301941	0.001911244052039	0	0
24	PC8	0	0	0	0	0.005301941	0.001911244052039	0	0
25	PC9	0	0	0	0	0.005301941	0.001911244052039	0	0
26	Psypsy	0.563935657297435	0.16888921655193	0.002773871	0.000596246315440747	0.005301941	0.001911244052039	0.232912792855651	0.894958521739218
27	SelfRepDep	0.501755365764895	0.294587872694419	0.002273487	0.000744486528585679	0.005301941	0.001911244052039	-0.0756368647161672	1.07914759624596
28	abletoconfide.baseline	0.0627526076194838	0.0279002712246325	0.0003318965	0.000190080687581909	0.005301941	0.001911244052039	0.00806807601920405	0.117437139219763
29	adoptedaschild.baseline	0.211619399645377	0.234134104330834	0.0008449219	0.000579769468153689	0.005301941	0.001911244052039	-0.247283444843057	0.670522244133812
30	adultclass.baseline	0.0569464700444795	0.0308123566892881	0.00027406142	0.000139971277057781	0.005301941	0.001911244052039	-0.0034457490665252	0.117338689155484
31	age	0.0222292251782369	0.019868357188666	0.00010546025	7.15558376154711e-05	0.005301941	0.001911244052039	-0.0167127549115485	0.0611712052680222
32	agefirstsex.baseline	0.080758437881764	0.0585484441785763	0.0003591432	0.000204098226165083	0.005301941	0.001911244052039	-0.0339965127082455	0.195513388471774
33	agestartedsmoking.baseline	0.462889171879372	0.434517372793875	0.0019219544	0.00154327234074628	0.005301941	0.001911244052039	-0.388764878796622	1.31454322255537
34	agestopsmoking.baseline	0.0977579396799191	0.0305559747238665	0.0005053573	0.00021906362980044	0.005301941	0.001911244052039	0.0378682292211408	0.157647650138697
35	alcoholfreq.baseline	0.078942700287911	0.048014644176357	0.0003552365	0.000115631581057397	0.005301941	0.001911244052039	-0.0151660022977488	0.173051402873571
36	alcoholuse.baseline	0.0386238034387041	0.0196137524548092	0.00018703787	9.23812733304038e-05	0.005301941	0.001911244052039	0.000180848627278012	0.0770667582501302
37	alevels.baseline	0.100774895768261	0.0639748070640499	0.0004732529	0.000191322243311267	0.005301941	0.001911244052039	-0.0246157260772771	0.226165517613798
38	ambidextrous.baseline	0.151068051438748	0.109760131662045	0.0007947734	0.000591841969293643	0.005301941	0.001911244052039	-0.0640618066188606	0.366197909496357
39	array	0	0	0	0	0.005301941	0.001911244052039	0	0
40	attemptsstopsmoking.baseline	0.160442670956804	0.137667650851582	0.000727039	0.000445084105789257	0.005301941	0.001911244052039	-0.109385924712296	0.430271266625905
41	averageatage10.baseline	0.0885266431795128	0.046119638060518	0.0004080743	0.000142300532116636	0.005301941	0.001911244052039	-0.00186784741910255	0.178921133778128
42	averageheightatage10.baseline	0.041552492542487	0.0290374441375568	0.00018872348	0.00012740089637348	0.005301941	0.001911244052039	-0.0153608979671243	0.0984658830520983
43	biketowork.baseline	0.0983900271284895	0.0601489000629666	0.0004626178	0.000185000125777615	0.005301941	0.001911244052039	-0.0195018169949251	0.216281871251904
44	breastfed.baseline	0.0431278135137864	0.0172823476475822	0.0002266497	0.000140564468721295	0.005301941	0.001911244052039	0.00925441212452531	0.0770012149030475
45	cartowork.baseline	0.0367673840378991	0.0295846057437767	0.00018330567	0.000133588453882712	0.005301941	0.001911244052039	-0.0212184432199032	0.0947532112957014
46	centre.barts	0.143592816984386	0.0759266044946631	0.0007863359	0.000598281358148386	0.005301941	0.001911244052039	-0.00522332782515381	0.292408961793926
47	centre.birmingham	0.141903013949158	0.143420183900034	0.000661203	0.000463613831174658	0.005301941	0.001911244052039	-0.139200546494909	0.423006574393226
48	centre.bristol	0.0721603286532845	0.059155983810702	0.0003414847	0.000211486566179115	0.005301941	0.001911244052039	-0.0437853996156915	0.18810605692226
49	centre.bury	0.0529536177987281	0.0229990498697323	0.00027449659	0.00013574907986753	0.005301941	0.001911244052039	0.00787548005405284	0.0980317555434034
50	centre.cardiff	0.130252307721117	0.072159781668814	0.000648871	0.000359393956925946	0.005301941	0.001911244052039	-0.011180864349758	0.271685479791993
51	centre.croydon	0.0987002946631166	0.0517280910240559	0.000455112	0.000150565107497646	0.005301941	0.001911244052039	-0.002686763744033	0.200087353070266
52	centre.edinburgh	0.117599362977828	0.0639468350866925	0.000614056	0.00043154573877838	0.005301941	0.001911244052039	-0.00773643379208903	0.242935159747746
53	centre.glasgow	0.103438285053032	0.0785308806454763	0.0004673529	0.000355964223728687	0.005301941	0.001911244052039	-0.0504822410121017	0.257358811118165
